peringkat,nama_objek,nama_jenis
1,Istana Pagaruyung,Bangunan Arsitektur
2,Jam Gadang Bukittinggi ,Monumen & Patung
3,Air Terjun Lembah Anai,Air Terjun
4,Lembah Harau,Ngarai
5,Wisata pulau pagang,Pulau
6,Danau Meninjau,Perairan
7,Kelok Sembilan,Tempat Menarik & Tengara
8,Gunung Marapi,Gunung Berapi
9,Puncak Lawang,Tempat Menarik & Tengara
9,Puncak Lawang,Area Pengamatan
10,Ngarai Sianok,Ngarai
11,Masjid Raya Sumatera Barat,Bangunan Arsitektur
11,Masjid Raya Sumatera Barat,Tempat Keagamaan
12,Pulau Mandeh,Pulau
13,Goa Jepang,Gua Bawah Tanah& Gua
14,Pantai Air Manis,Pantai
15,Danau Singkarak,Perairan
16,Pulau Sikuai,Pulau
17,Pantai Padang Taplau,Pantai
18,Museum Adityawarman,Museum Benda Khusus
19,Pulau Pasumpahan,Pulau
20,Kampung Cina,Tempat Menarik & Tengara
21,Pulau Pamutusan,Pulau
22,Pantai Carocok Painan,Pantai
23,Koto Gadang,Tempat Menarik & Tengara
24,Taman  Nasional Kerinci Seblat,Taman Nasional
24,Taman  Nasional Kerinci Seblat,Taman
25,Lubuk Nyarai,Perairan
26,Nagari Tuo Pariangan,Tempat Menarik & Tengara
27,Alek Pacu Jawi,Acara Budaya
28,Pantai Suwarnadwipa,Pantai
29,Padang Mengatas,Peternakan
30,Jenjang Seribu,Tempat Menarik & Tengara
31,Pantai Bungus,Pantai
32,Ngalau Indah,Gua Bawah Tanah& Gua
33,Danau Diatas,Perairan
34,Pulau Sirandah,Pulau
35,Museum Rumah Kelahiran Bung Hatta,Museum Benda Khusus
36,Mandeh Sea Park,Marina
36,Mandeh Sea Park,Pulau
37,Kebun Teh Alahan Panjang,Pertanian
38,Teluk Bayur,Pelabuhan & Jalan Kayu
39,Pandai Sikek,Daerah Sekitar
40,Pusat Konservasi Batang Palupuh Alami (Taman Rafflesia),Area Wisata Alam& Taman Margasatwa
41,Pusat Dokumentasi dan Informasi Kebudayaan Minangkabau,Museum Benda Khusus
42,Pelabuhan Muaro,Perairan
43,Jembatan Limpapeh,Jembatan
44,Pulau Angso Duo,Pulau
44,Pulau Angso Duo,Pantai
45,Pantai Carolina,Pantai
46,Kepala Bandar,Tempat Menarik & Tengara
47,Masjid Raya Bukittinggi,Tempat Keagamaan
48,Benteng Fort de Kock,Tempat Menarik & Tengara
49,Pantai Muaro Lasak,Pantai
50,Puncak Anai,Tempat Menarik & Tengara
50,Puncak Anai,Taman
51,Pantai Tiram,Pantai
52,Goedang Ransum,Museum Benda Khusus
53,Pemandian Tirta Alami,Kompleks Olahraga
54,Mifan Water Park & Resort,Taman Hiburan
54,Mifan Water Park & Resort,Taman Air
55,Gunung Singgalang,Pegunungan
56,Taman Nasional Siberut,Taman Nasional
57,Hole Mine Site Museum Mbah Suro & Infobox,Museum Benda Khusus
58,Masjid Ulakan,Tempat Menarik & Tengara
59,Air Terjun Sarasah Gadut,Air Terjun
60,Kolam Renang Batang Tabik,Kompleks Olahraga
61,Janjang Saribu,Area Bersejarah untuk Pejalan Kaki
62,Masjid Taqwa Muhammadiyah,Tempat Menarik & Tengara
63,Kelok 44,Wisata Mobil
64,Bukit Nobita,Area Pengamatan
65,Taman Nirwana,Taman
66,Lubuk Minturun,Pertanian
67,Jembatan Siti Nurbaya,Tempat Menarik & Tengara
67,Jembatan Siti Nurbaya,Jembatan
68,Sungai Kapalo Banda Taram,Perairan
69,Hutan Lindung Bung Hatta,Area Wisata Alam& Taman Margasatwa
70,Pusat Dokumentasi dan Informasi Kebudayaan Minangkabau,Museum Benda Khusus
71,Rumah Puisi Taufiq Ismail,Museum Kesenian
72,Basko Grand Mall,Tempat Belanja
73,Museum Perjuangan Tri Daya Eka Dharma,Museum Sejarah
74,Batu Malin Kundang,Tempat Menarik & Tengara
74,Batu Malin Kundang,Tempat Misterius
75,Danau Kandi,Perairan
76,Air Terjun Kulu Kubuk,Air Terjun
77,Museum Kereta Api Sawahlunto,Museum Benda Khusus
78,Puncak Langkisau,Area Pengamatan
79,Taman Marga Satwa Budaya Kinantan,Kebun Binatang
80,Air Terjun Lubuk Hitam,Air Terjun
81,Monumen Bung Hatta,Tempat Menarik & Tengara
81,Monumen Bung Hatta,Monumen & Patung
82,Pantai Gandoriah,Pantai
83,Jembatan Akar,Tempat Menarik & Tengara
83,Jembatan Akar,Bangunan Arsitektur
84,Batu Batikam,Tempat Menarik & Tengara
85,Makam Muhammad Yamin,Pemakaman
86,Lubuk Cimantung,Bendungan
87,Nagari 1000 Rumah Gadang,Daerah Sekitar
87,Nagari 1000 Rumah Gadang,Tempat Menarik & Tengara
88,Museum Rumah Kelahiran Buya Hamka,Museum Benda Khusus
89,Tabek Gadang,Perairan
90,Pantai Ketaping,Pantai
91,Puncak Polan,Pegunungan
92,Kincir Air Talawi,Tempat Menarik & Tengara
93,Masjid Raya Bayur,Tempat Menarik & Tengara
94,Lubuak Tempurung,Area Wisata Alam& Taman Margasatwa
95,Sungai Belimbing,Perairan
96,Jambak Sea Turtle Camp,Area Wisata Alam& Taman Margasatwa
97,Bukit Cambai,Area Pengamatan
97,Bukit Cambai,Jalur Lintas Alam
98,Bukit Sirih,Area Pengamatan
98,Bukit Sirih,Area Indah Pejalan Kaki
99,Gunung Tandikat,Pegunungan
100,Air Terjun Batu Bersurat,Air Terjun
101,Rumah Tuo Kampai Nan Panjang,Tempat Menarik & Tengara
102,Danau Tarusan Kamang,Perairan
103,Pantai Kata,Pantai
104,Kincir Air Tradisional,Tempat Menarik & Tengara
105,Pulau Sironjong,Pulau
106,Pulau Karang,Pulau
106,Pulau Karang,Pantai
107,Konservasi Penyu Kota Pariaman,Area Wisata Alam& Taman Margasatwa
108,Gereja Katolik Santa Barbara Sawahlunto,Tempat Menarik & Tengara
109,Air Terjun Baburai,Air Terjun
110,Shoot - Pool Lounge & Sport Bar,Kompleks Olahraga
111,Airport Raillink Service,Sistem Transportasi Umum
112,Pantai Carocok,Pantai
113,Air Terjun Ngungun Saok,Air Terjun
114,Rumah Gadang Tuanku Lareh St,Tempat Bersejarah
115,Sandiang Gagoan,Ngarai
115,Sandiang Gagoan,Area Pengamatan
116,Mentawai Tribe Tour,Tur Budaya
116,Mentawai Tribe Tour,Tur Ekologi
117,Pulau kasiak,Pulau
118,Monumen Merpati Perdamaian,Monumen & Patung
119,Danau Biru Sawahlunto,Perairan
120,Padang Private Driver,Tur Mandiri & Penyewaan Kendaraan
121,Air Terjun Titian Puti (Nyarai),Perairan
121,Air Terjun Titian Puti (Nyarai),Hutan
122,Taman Green Lezatta,Tempat Menarik & Tengara
123,Puncak Payo Rapuih,Jalur Lintas Alam
123,Puncak Payo Rapuih,Area Indah Pejalan Kaki
124,Puncak Happy,Area Pengamatan
124,Puncak Happy,Jalur Lintas Alam
125,Masjid Agung Nurul Islam,Tempat Menarik & Tengara
126,Kebun Teh Mitra Kerinci,Pertanian
127,Pantai Labuang Baruak,Pantai
128,Sarasah Sungai Guntuang,Air Terjun
129,Teluk Air Putih,Perairan
130,Pulau Batu Nago,Pulau
130,Pulau Batu Nago,Pantai
131,Pincuran Tujuh,Air Terjun
132,Museum Tuanku Imam Bonjol,Museum Benda Khusus
133,Pasar Atas Bukittinggi,Toko Barang Khusus & Suvenir
134,Danau Tomosu,Perairan
135,Lite 'N' Easy Tour,Tur Kota
135,Lite 'N' Easy Tour,Tur Budaya
136,Roni's Tours,Tur Beberapa Hari
136,Roni's Tours,Tur Budaya
137,Mentawai Experience Tour,Tur Budaya
137,Mentawai Experience Tour,Tur Tempat Bersejarah & Situs Warisan
138,Lawang Park,Pusat Permainan & Hiburan
139,Kripik Balado Shirley,Toko Barang Khusus & Suvenir
140,Aie Angek Bukik Gadang,Spa Air Panas
141,Batik Tanah Liek Citra Monalisa,Toko Barang Khusus & Suvenir
142,Kakiku Refleksi,Spa
143,Martha Tilaar Salon Day Spa,Spa
144,Aie Angek Bukik Kili,Spa Air Panas
145,Komando Paintball & Cafe,Pusat Permainan & Hiburan
146,Kopi Kiniko,Toko Barang Khusus & Suvenir
147,Minangkabau Adventures Tour,Tur Kota
147,Minangkabau Adventures Tour,Tur Budaya
148,Samba Lado,Tur Kota
148,Samba Lado,Tur Beberapa Hari
149,House Of Beauty And Spa,Spa
150,Tungku Sanjai Amak Haji,Toko Barang Khusus & Suvenir
151,PADANG DESTINATION,Scuba & Snorkelling
151,PADANG DESTINATION,Taksi & Layanan Antar Jemput
152,West Sumatra Traveler,Tur Budaya
152,West Sumatra Traveler,Tur Ekologi
153,Duta Pesona,Parasailing & Paralayang
153,Duta Pesona,Tur Budaya
154,Matonagari,Tur Kota
154,Matonagari,Tur Beberapa Hari
155,Ricky Abdi Tour,Tur Budaya
155,Ricky Abdi Tour,Tur Tamasya
156,Discover Mentawais,Scuba & Snorkelling
156,Discover Mentawais,Selancar & Selancar Angin
157,Sumatra Adventure,Selancar & Selancar Angin
157,Sumatra Adventure,Tur Panjat Tebing
158,Habibie DelapanTour,Tur Beberapa Hari
158,Habibie DelapanTour,Taksi & Layanan Antar Jemput
159,Menyelam - Starocean,Scuba & Snorkelling
160,Mentawai Tribe Journey with Wetravelinc,Tur Beberapa Hari
160,Mentawai Tribe Journey with Wetravelinc,Tur Pribadi
161,Platinum Holidays Indonesia,Tur Pribadi
162,Surf in Mentawais,Tur Kapal
162,Surf in Mentawais,Menyewa Peralatan & Tur Memancing
163,Banto Royo,Flying Fox & Taman Petualangan Atas Pohon
164,Rizal Tour,Tur Beberapa Hari
164,Rizal Tour,Taksi & Layanan Antar Jemput
165,Al Wafa Adventure,Tur Budaya
165,Al Wafa Adventure,Tur Panjat Tebing
166,Rianzha Holiday,Tur Kota
166,Rianzha Holiday,Tur Budaya
167,Santa Lusia Boat,Penyewaan Kapal
